,username,datetime,comment,comment_replies,comment_retweets,comment_likes
0,@narendramodi,2021-05-04T13:24:35.000Z,"We welcomed launch of an Enhanced Trade Partnership as a roadmap to a comprehensive FTA, with a target to more than double the bilateral trade by 2030. We also agreed upon several new initiatives in health, technology, energy, etc.",215,965,7.7K
1,@nanda8tooter,2021-05-04T13:24:40.000Z,In this fight against ,2,3,14
2,@JaiShreeRam90,2021-05-04T13:25:02.000Z,"हाथरस कांड का सच सामने नहीं आया था , उससे पहले सारा मीडिया हाथरस भाग लिया था, प्रियंका गांधी/राहुल गांधी तो गाड़ी छोड़ पैदल दौड़ लिए थे।

आज बंगाल में ना जाने दलितों के साथ कितना अत्याचार हो रहा है, पर मजाल है कोई सवाल भी पूछले।",3,16,56
3,@jaacquelinef143,2021-05-04T13:25:06.000Z,SIR TELL ABOUT LOCKDOWN,,,5
4,@momo_classygirl,2021-05-04T13:25:08.000Z,Desh ko dekho pahele,,2,12
5,@Akash_joshi27,2021-05-04T13:25:10.000Z,Ok,,,17
6,@A_nasir_L,2021-05-04T13:25:16.000Z,Wah modji wah,,,2
7,@pathakBJPMP,2021-05-04T13:25:21.000Z,जय हो,,,3
8,@sanjaythakor895,2021-05-04T13:25:21.000Z,ठीक है ,1,,5
9,@Bharatiya40,2021-05-04T13:25:24.000Z,Great work..,,,4
10,@Ridhijain0021,2021-05-04T13:25:24.000Z,"जल्दी ही देखने को मिलेगा कि बंगाल की हार का बदला जनता से पेट्रोल, डीजल और गैस के दाम बढ़ाकर लिया जाएगा!",6,1,21
11,@BhaveshCPatel4,2021-05-04T13:25:38.000Z,"""""ગુજરાતમાં ગુંડારાજ""""

સામાન્ય માણસે નિકોલ-અમદાવાદ ખાતે
બુટલેગરની માહિતી ખૂદ પોલીસને આપી
અને પોલીસે પાછી બુટલેગરને,

પછી બુટલેગરોએ બાતમીદારની જાહેરમાં
કરી નાખી ધોલાઈ..!

હવે શું ",1,1,9
12,@ChudasmaAnshu,2021-05-04T13:25:46.000Z,बंगाल में दीदी की विजय !!!!  भाजपा कार्यकर्ता का हाल. ,,14,51
13,@debarajmahanta,2021-05-04T13:25:46.000Z,First elevate WB than India,,,2
14,@RANJITK08070102,2021-05-04T13:25:48.000Z,कोरोना अभी खत्म नहीं हुआ है इसलिए अपने घर से बाहर उतना ही निकले जितना चुनाव जितने के बाद नेता अपने क्षेत्र मे निकलते है।,,,7
15,@Wasim093,2021-05-04T13:25:50.000Z,Thu !,,,6
16,@Sumit67108552,2021-05-04T13:25:52.000Z,"Another POK (Bangladesh)

The issue of legal Indian territory in Bangladesh was raised multiple times in the parliament but Congress did nothing. A memorandum was sent to Pm Modi ji in 2017 through Assam Governor and CM. We want justice.

Click below-",,3,12
17,@Divyanshi_486,2021-05-04T13:25:53.000Z,Will you pls speak on Bengal V!olence? ,,,3
18,@Varunvarun15231,2021-05-04T13:25:54.000Z,सर प्लीज भारत में न्यूनतम वेतन कानुन सख्ती से लागु करवाये और इसको राष्ट्रपति के अधीन कीजिए क्योंकि पालीटिकल पार्टीयो को चन्दा देकर नियोक्ता लेबर कमिश्नर और युनियन वालो के साथ मिलकर लेबर की जिन्दगी खराब कर रहे है सर स्टेट मिनिस्टर भी चन्दे के लालच मे कोई कार्रवाई नही कर रहे है,1,5,14
19,@kanganateeam,2021-05-04T13:25:55.000Z,जय हिन्द,,,5
20,@PankajkumarPTh1,2021-05-04T13:25:55.000Z,,,,5
21,@prernabhardwaj_,2021-05-04T13:25:56.000Z,"Modi Ji,Please do something for the Karyakartas dying in Bengal. Yesterday it was Kashmir,today it is Bengal. 
We can’t let another genocide happen!",1,5,52
22,@kvmalli262,2021-05-04T13:25:57.000Z,"Sir, Please adopt the roadmap of COVID19 Crisis",1,,2
23,@iAadiRaj,2021-05-04T13:25:58.000Z,बंगाल के हिंदुओं को बचाइए प्रधान सेवक जी!!! ,1,4,28
24,@RJhaliwal_inc,2021-05-04T13:26:03.000Z,"मैं ने चाहा था कि अश्कों का तमाशा देखूँ
और आँखों का ख़ज़ाना था कि ख़ाली निकला
~साक़ी फ़ारुक़ी",,,4
25,@Viratianteju_18,2021-05-04T13:26:05.000Z,Where is tweet for ssr?,,,2
26,@babu557869,2021-05-04T13:26:05.000Z,#ModiGovtSeNaHoPayega,,1,2
27,@MeRahulPandey,2021-05-04T13:26:05.000Z,@narendramodi,,,2
28,@IamHsinghal,2021-05-04T13:26:06.000Z,,,,4
29,@_dreamer__neha,2021-05-04T13:26:07.000Z,Save bengal save bengal people from mamata goons,1,1,12
30,@Abhishe97528642,2021-05-04T13:26:09.000Z,मेरे दोस्त UK PM ,,,4
31,@mishra_freaky,2021-05-04T13:26:09.000Z,Thank you from ,,,3
32,@RajveerShahiBjp,2021-05-04T13:26:10.000Z,"Modi Ji,Please do something for the Karyakartas dying in Bengal. Yesterday it was Kashmir,today it is Bengal. 
We can’t let another genocide happen!",2,7,17
33,@DaBabyWuzHere,2021-04-28T15:19:35.000Z,DaBaby,27,10,313
34,@Officialj0nn,2021-04-28T15:19:46.000Z,Verify me,28,2,168
35,@naxodamus,2021-04-28T15:19:47.000Z,Yap,1,,62
36,@mp3seoul,2021-04-28T15:19:50.000Z,but streaming butter when it comes out isn’t!,5,3,182
